first_name,last_name,email_address,home_phone,street,city,state,zipcode
Michael,Panek,dntisler@jumpstartlab.com,801-362-6000,1434 Wilson Ave.,Salt Lake City,UT,84105
Kate,Cebulski,orazrya1@jumpstartlab.com,801-550-5000,1033 Barbara Pl Apt 2,Salt Lake City,UT,84102
Megan,Engel,bgc64@jumpstartlab.com,8015505000,219 Elizabeth St.,Salt Lake City,UT,84102
Kristen,Gilbert,tpollins6@jumpstartlab.com,8015505000,1343 Ashwood Circle,Salt Lake City,UT,84121
Student,Myett,wjang@jumpstartlab.com,8015505000,834 E. Pond View Way,Salt Lake City,UT,84106
Adrienne,Xx,rrthleen.oflaherty@jumpstartlab.com,8015505000,1213 Medical Plaza,Salt Lake City,UT,84121
Eileen,Ludmer,mhulger@jumpstartlab.com,8015505000,723 11th Avenue,Salt Lake City,UT,84103
Alex,Boozel,jyhiang@jumpstartlab.com,8015505000,220 A Street,Salt Lake City,UT,84103
Susan,Berkley,ceebst.4@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
Emma,Kopkin,sxcoffey@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
Kate,Armacost,hgle.Saud@jumpstartlab.com,8015505000,1033 Barbara Pl,Salt Lake City,UT,84102
Lindsey,Woolworth,eoeal@jumpstartlab.com,801 359-4000,350 south 200 east #406,Salt Lake City,UT,84111
Rich,Wynn,vkrenzo.serna@jumpstartlab.com,8015505000,2887 Wainwright Road,Salt Lake City,UT,84109
